管理NO,問合せ内容,回答内容
eaadc7fb-f852-405e-880a-6d50f7ab2e63,\\99.999.999.999\share\folder\scanのフォルダが開かない,"・99.999.999.999のCanonの複合機の通信が繋がっていません
PCのカメラを使いプリンタからLANケーブルを追っていただきHUBの状態を河村さんと確認しました
・プリンタのLAN刺さっている部分　消灯　PR1のタブ
・HUBに刺さっているPR1は光っています。複合機１は消灯　PR２は光っています。わたりが消灯
河村さんとわたりから先で何かが起きているのではとなりました。
活用推進に対応依頼のメールしました"
4b9d9228-8f4b-4696-a095-73394d4b1aac,"ネットワークに繋がらないです。松崎CMに聞いたらデバイスが壊れてるんじゃないかとのことです。
",デバイスマネージャー＞ネットワークアダプター＞“Interl(R) WiFi～”をチェックを入れずにアンインストール、その他もアンインストール。ACアダプターを左上に挿してたので差し替えて、ACアダプターのみの状態で端末再起動。非公開のネットワークから接続し“接続済み”になりました。VNCは入れませんでしたが業務的なものは開くとことでしたので様子見をお願いいたしました。
3f50bd58-e28c-4a88-bc44-a95bb3bf5900,Winshotsがなんか変になってしまった。設定からいろいろ触った。,Winshots自体が起動していなかったので起動しました。Winshotsを押すと切り取り領域みたいな画面が表示されます。Alt+PRTSCをアクティブWin保存に設定変えた所、保存できました。保存したキャプチャを印刷頂くようご案内しました
5694fce4-b4c6-46b7-a3c0-54b45e4b486f,アテンダントの子が出社打刻をした後に保育園からお迎えに来て欲しいと連絡があり帰りました。お休み（年休）を入れたいのですがどうしたらいいですか。,実績が入った状態なのでおそらく実績のクリアが必要になるかと思われます。年休申請をして承認いただき、エラーが表示されますので再度サポートデスクにご連絡ください。
d258495b-b8b4-442f-8407-de5117586317,ai21 EUC抜出パターン、どこに抜出パターンの設定の依頼したら良いですか？,安藤さんに確認しました。ご自身で組んでください。ただ現状は空きありません。ご自身の欲しい内容のパターンに近い内容で抜き出すほかありません
372559c4-9a3b-4ac1-bc06-444be26e2f79,K21のPCが電源入りません。電源周りは確認しました。,一度P01のACアダプタと巻き替えて着くか試してください。駄目なら、修理依頼するので型番製造番号の写メを送ってください→連絡なし。店舗に何回か電話した所、接続されていた物の抜き差しにて起動するようになったとの事。解消済
29eaec85-91ef-4647-9a62-cab37cb2612c,代表機がおかしいので見てほしい。,ai21でエラーになっているようです。終了ボタンを押しても閉じれなかったのでタスクマネージャーから終了しai21を起動し直しました。
50996d68-f596-4a37-b576-fd20a0f3df44,GTS端末　諏訪店長野スタッフリーダーから「このワークステーションとプライマリドメインの信頼関係に失敗しました」と表示され、ログインすることが出来ないと連絡がありました。対応お願いしたいです。,信州課長　武田スタッフリーダーに協力いただき、dismuserで入ろうとしましたが、入れません。PCはWin11端末でした。活用推進・森さん伊藤さんに相談して、一旦回収となりました。店舗には古い方の端末もあるので早急に困ることはありません。→代替機を持ってサービス部鈴木さんが店舗行きました。dismuserでログインできたとの事でしたので、ドメインの入り直しをお願いしました（キッティング行ったことあるので分かるとの事でした）
651ddd47-d7a8-47f0-a2e7-2f7614320141,"サポートデスク各位

お世話になっております。
標記の件

ノートＰＣのキーボードが破損してしまいました。
修理をお願いしたくご連絡させていただきました
どのようにさせていただけばよろしいでしょうか
ご教示お願いいたします


↓ＰＣ画面と接続する部分の金色のものが　折れてしましました",購入になること、上長から購入依頼のメールをサポートデスクに送ってもらう必要があること等、メールで返信しました。上長と相談しますとのことです。
9fc7e7a7-c737-4763-a609-7b7491dc9cf1,店長機兼代表機でPALの朝一番の仕事しようとしていますが、エラーが表示されて出来ません。,PC再起動後、正常にPALの店長機朝一行うことが出来ました。再起動する前にETCセットアップの画面が最小化されていたので、それが原因の可能性がありますとお伝えしました
b8ce291c-0c10-4bf6-8b6b-9be954a0ff44,PCのページが変な感じがします。Windowsログインした際に様こそあと少し等表示された。,サインインアカウント　本来ai21hのところai21でログインされていました。ai21hでログインし直して、正常な状態となりました
be6ef47a-ea77-4229-9fa6-4c8b8acdab61,Gメールに怪しいメールが届いています。確認の為に電話しました。,"上村さんにメールのログから探ってもらいました。結果
DSC-ID　ログインシステムにたどり着き、ページ内のTOPにタイトルと同じ案内の記載がありました。DSC-ID　ログインシステムに覚えが無いかお伺いした所、L豊田土橋時代にお付き合いで入ったとの事でしたので、本物のお知らせメールと判明しました"
d4e49223-7727-48f5-9401-a5a602073e1d,DriveReport（ドライブレポート）をPCで開くにはどこから開けばいいですか,web.NTP＞総務＞社用車・準社用車関連にあります。
8c176c99-7cec-4738-9da0-f3b3f7b6168d,スタッフが事故に合って10日間お休みだったのですがお盆にかぶってたためあと3日間の休みを設定する必要があります。この場合、何か特別な申請はありますか。,長期休が残っているのであれば先に使用してください。念のため労政部（保険に提出する際になにかあるのであれば保険の方に）にご相談頂いても良いかもしれません。
3cdcade9-e179-4adb-907c-596c37025019,"アクセスSYS『VGsysTP(店舗)Ver1.03』を開いて「部門コード」「パスワード」を入力すると
＜エラーメッセージ＞
「フォームのコントロールのValidationRule/入力規則プロパティに指定した式［部門C］にエラー　
　このオブジェクトには、オートメーション　オブジェクト部門Cは含まれません。があります。
　指定した式をパーズできません。たとえば・・・参照してください。」
のエラーになります。",業務改善にメールで依頼。
028644d7-fb4a-4a2e-a76e-628baa4b841b,PALの商談メモのお客様入力に「JAF」のボタンが表示されません。他のスタッフは表示されてます。,『MU-BOXからのスーパーマルチ反映』を実施し表示されるようになりました。 
8496e76f-eeac-4aa8-99ec-7e08014b66e8,携帯プリンタ（TR153）の修理依頼をしたいです。印刷後のローラー音が異様な音がします。,web.NTPにある修理フォームにご入力・送信頂き、送付をお願いいたしました。
ed2ac88d-9806-4e90-8879-ed68af8cb263,固定電話の着信通知が社用スマホに来なくなりました。昨日の朝、電力オーバーでブレーカーが落ちています。そのあとから店舗全員通知が来ません。ピックアップは使わず、社外か社内かを通知で見て固定電話で受電する形で利用しています。,アスファイアを【OFF→5分ほどしてからON】してみていただくようお伝えしました。OFFの間、固定電話は発着信できません。社用スマホは利用できます。⇒エラー解消せず。アスファイアのWX CCPUというポートのケーブルは光っていないとのこと。また、そのケーブルを辿った先のHUBは主電源のランプは点いているが各ポートは点灯していない。通知以外は問題なく使用できているので、HUBが原因と予測し、H名古屋→H信州に連絡して店舗に交換に走ってもらうことになりました。
dae9a3df-ae73-432a-852d-74fc1df96355,印刷指示をかけても出てこないです。P1035F52　99.999.999.999　NEC8600,コントロールパネル＞デバイスとプリンターにてジョブを確認すると“スプール中”になってました。テストページ印刷はできたのでPCを再起動し、印刷できるようになりました。
4c37c049-0ec7-490a-ac82-fadb783bb286,Gメールを送るときに宛先に「RR」と入力すると、いくつかロールスロイス用のグループアドレスが候補に出てきます。このグループアドレスに誰が含まれているのか確認する方法はありますか。,rakumoコンタクトで確認できます。右上のプルダウンで「全て」から「グループアドレス」に変更して「TO」押下すると出てくるアドレスがグループアドレスで、ツリーの配下のアカウントすべて含まれます。
c0b47406-bf72-41eb-a206-95fb469628eb,SnippingToolで新規で範囲を選択し[編集＞コピー]し、AdobeReaderでPDFを開いて[編集＞貼り付け]で画像を貼り付けてるのですが、他のPCだと[貼り付け]が無くてできません。,AdobeReaderのバージョンが違うと項目の場所が違うかもしれません。左上に「メニュー＞ペースト」もしくは[Ctrl＋V]で出来ないかお試しいただくようお願いいたしました。⇒できました。
cf8041ef-44ad-4d9f-9425-5b3a02648a5a,レンタ本社でneoが開かない端末が何台があります。WiFiは接続済みになってます。,荒川部長に確認⇒固定IPアドレスで開くようになっているとのこと。IPアドレスを確認してもらい[99.999.999.999]にVNC[PW：999]で入りコマンドプロンプト（ipconfig/all）で確認しましたが固定IPアドレスになってそうでした。NTPシステムの端末でもNEOが開けないとのことで、いつもは時間が経ったら繋がるようになるか　R本社）経営企画部）村井さん　が何かをしたら直る…？とのことでした。村井さんがお休みなのでサポートデスクに電話したようです。待つか他の繋がるPCを探すしか…。週明けに荒川部長から村井さんに対処方法を確認していただけるとのことです。
5c738dd5-5ff0-4c3e-a11e-c75c1d29b383,固定代表電話の時刻表示が5分遅れています。留守電の解除が10:05になってしまうので、修正したいです。,森さんに確認。業者に修正を依頼します（大竹さんからメールで依頼済み／店舗でできないわけではないが、あまり触られたくないので）。⇒13:30　対応済み
5bda19d8-a3f3-46a0-94a3-82cb71731d79,店舗共有にあるショートカットフォルダがエラーで開きません。【\\99.999.999.999\店舗共有\233_第3営業部\個人情報保護　立ち入り申請書提出先\第3営業部-ショートカット】このフォルダ内に各店舗名のフォルダがあり、Excelを月末に入力する運用です。,元のフォルダは「217_営業推進部」内にありました。ショートカット再作成しました。
3fbae215-9f1b-4703-9759-31bbbe698c08,WebNTPからセコム安否確認のパスワード変更の案内を開きたい。WebNTPからリンクをクリックすると、以前人事部にいた社員のメールアドレスが表示され、パスワードの認証を求められる。,Edgeの履歴を削除し、WebNTPを開き直すとアカウント認証画面になったので、中岡様のアカウントで認証していただきました。セコム安否確認の画面に遷移できました。
50fa91f6-6498-4ede-9ea8-bf7fb4b6c61b,受付PCでSMBがエラーになったので設定をお願いします。,NOAとSMBをIEモードに追加しました。
3c2ed22f-f122-41de-9a74-d2940873ee36,端末を起動したところ、「BitLockerの回復」という青い画面が表示されました。端末名：PC1026W71,端末：PC1026W71の回復キーを確認して、入力いただきました。「続行」を押下、「再起動」を押下していただきました。再起動後、Windowsが正常に起動できました。 ◆BitLocker回復キーを調べ方◆ ［\\99.999.999.999\NEXTai21\端末仕立\070_BitLocker回復キー確認\01_名古屋トヨペット］から、該当端末のtxtを開き、「パスワード」に記載されている数字を入力していただきます。（接続ID：local\ai21，パスワード：999）端末のファイルが複数ある場合、「BitLockerの回復」画面に表示されている日付の確認が必要です。
fd912998-321d-4fb1-81ba-230b00e05adb,在宅でF5Access（BIG-IP）が「初期化中」のまま繋がらないです。,デバイスマネージャー＞ネットワークアダプター＞“Interl(R) WiFi～”をチェック入れずにアンインストール、他のネットワークアダプターもアンインストールし端末再起動。ご自宅のWiFiを繋いでいただきBIG-IPの接続をしていただきましたが「初期化中」のまま変わらず。BIG-IPをアンインストールし端末再起動＞web.NTPからインストールし直しましたが「初期化中」のまま変わらず。dockを抜いても変わらず。dockを抜いた状態で再起動してそれでもダメな場合は出社時にお電話いただき、こちらで入れ直しをさせていただきます。メールで社内WiFiに接続する方法をご案内しました。
6059589a-e729-446b-a02a-3681264f89ef,PCサインイン時にパスワードを入れても「パスワードが違います」とエラーになる。ユーザーはai21で、「999」を入れています。CapsLockも確認済みです。,PC再起動後、サインインできました。
11cfb8f9-c923-4113-a6e0-fa4ea65eb37d,TR153　印刷できない,バッテリー付け外しで印刷できるようになりました
45ebfeee-e961-46bb-b5b9-1bd044daec9e,販売店GWに入れない,全てのEdge落としたら入れました
b5f17450-8816-4899-9e39-a4883e47730e,PCから印刷が出来ない,ネットワークが社内になっていませんでした。接続し直して解消
203093c0-f34a-4db2-aba9-a3146ad34819,役員のPC　VNCが接続できない　業務改善の小田さんからサポートデスクに電話するように言われた,リモートデスクトップで入ってVNC入れなおしました
9c295640-a5da-41ad-9d41-0f7a6ed0f789,CPO検索システム.vbs　にサービス課長　ログインするとエラーになる,登録が無いと思われる。レクサス事業の横井さんに問い合わせお願いしました
2ab0702f-181b-442f-8ad7-7d48d12fd19b,BIGIPEdgeClientについて　入れて欲しい,インストールしました
f50d833b-95ce-4dad-af5e-7b417bc0c581,Canon複合機　NTPSSCANが無くなった,管理者でログインして確認した所、存在していました。全検索で探して頂くようご案内しました
812f1157-bbb0-4c2b-a022-fde5beb572e2,ai21　経理画面が開きません,自端末経理情報メンテに登録しました
26990dc4-7c16-4d31-96f2-ecb1acc4d6b0,COMPANY　スタッフが休日変更申請日付間違えた。承認後　どうやって直したら。,休日変更取消申請ご案内しました
673bb879-5c52-4509-b08f-5bf244666dde,BIGIPEdgeClientの証明書発行お願いしたのですが、まだですか？,森さんに確認。作成中→発行後、設定フォローしました。
958a49cc-a686-4529-aa95-40e784562770,PC交換した。損保が開きません,損保ID設定しました。開くこと確認しました
577b5526-4049-4e34-8f41-711590d26f96,COMPANY　日時確定の確認,問題無くできていました
667852a9-ae2e-4abb-965d-81f1337e4519,社給携帯　EXP　名前の情報が古いと言われた。直し方教えてください,EXP携帯＞着信情報表示設定＞今すぐダウンロードご案内しました
abd7e4bf-841b-4db7-849f-f55dd88d5f11,社給携帯の画面真っ黒です,強制再起動にて復旧
2cd24e67-82ae-4c80-8e77-bb786fe846ec,PDFが閉じれない,タスクマネージャーから閉じれました
3f6d955f-ec65-4d1c-816a-ea614ad4330d,"武豊店から、あるお客様（お客様コード：240401821）の担当変更依頼がきています。
しかし、WebNOA『店舗外担当変更（申請）』には該当お客様は表示されません。","該当お客様の担当は［スタッフ担当店舗：三河知多フリート（343），営業スタッフ：愛知スタッフ（植田店 営業課長　140074），サービス担当：地域特販部 第3営業部（344）］となっています。
実質、担当者が不在の状態です。
武豊店より営業推進部 営業推進に、担当変更をご相談いただきますようお願い致します"
6cb753e4-caaf-4fe5-8791-8007709572fe,"ai21『損保情報照会』から、“04：三井住友海上”と“08：あいおいニッセイ同和損保”の損保WEBを起動することができません。
“09：東京海上日動”の損保WEBは、普段から使用しています。
＜エラーメッセージ＞
「ユーザーIDエラー
　ログオンに失敗しました。
　ユーザーIDをご確認の上、再度入力してください。」","ai21『損保接続環境設定』にて、“09：東京海上日動”のユーザーIDをメモして、“04：三井住友海上”と“08：あいおいニッセイ同和損保”に設定致しました。
“04：三井住友海上”と“08：あいおいニッセイ同和損保”は異なるユーザーIDが設定されており、恐らくNPP統合前の古いユーザーIDのようです。 
ai21『損保情報照会』から損保WEB（3社）が正常に起動できることを確認致しました。 "
cdb0e418-8ca3-413f-bd12-0dbb4a51911e,"店舗共有フォルダに保存されているExcelファイルを編集後、印刷を行って、保存せずに終了してしまいました。
ファイルに変更点が保存されていません。
どこかに修正内容が残っている可能性はないでしょうか。","Excelのファイル＞オプションを押下、『Excelのオプション』＞保存＞ブックの保存の「自動回復用ファイルの場所」を確認すると、［C:\Users\ai21h
.NTP-G\AppData\Roaming\Microsoft\Excel\］になっています。
該当場所を確認し、12:30時点のファイルがありました。
完全かは分かりませんが、保存時点のファイルよりは多くの情報がセットされている状態のため、こちらを元に再作成されるということです。"
8487472d-91f1-4d0b-a653-e42fbeac64bc,端末が修理から返却されましたが、デスクトップに『Tascal』のショートカットがありません。,"他端末（PC1127F41：99.999.999.999）の［C:\Users\Public\Desktop］より“Tascalｼｽﾃﾑ.url”をコピーして、該当端末の［C:\Users\Public\Desktop］に貼付け致しました。
『Tascal』が起動できることをご確認いただきました。
販売店GatewayのMFA認証は社用携帯をお使いなので、大丈夫ということです。"
1e77957f-b2f1-4142-8924-2af6eeb60092,"iPhoneのテザリングを利用して、リモートアクセスを行いたいです。
今回の台風のように、非常事態のあった際に、在宅勤務を利用したいです。","『NTPG Networks セキュアログオン』の「ユーザー名」と「パスワード」に社員コードを入力するとエラーメッセージが表示されます。
＜エラーメッセージ＞
「ユーザー名またはパスワードが違います。もう一度入力してください。」
今までリモートアクセスを利用されたことはないということです。 
所属長経由で、デジタルオペレーション）青山CMにリモートアクセスを利用したい旨を申告してください。"
f73c9651-d4ae-43ee-a9ad-98e13617c116,"COMPANY『勤務実績の登録・確認』で、8月28日（水）がエラーになっています。
該当日は出社打刻を忘れてしまい、退社時に『打刻』で“業務終了”ボタンだけでなく、“□ 店内開始 □”ボタンも押下してしまったようです。
出社打刻と退社打刻が同一時間の為、エラーになっています。
＜エラーメッセージ＞
「エラー：始業時刻と終業時刻に同じ時間は入力できません」","COMPANY『勤務実績の登録・確認』の「始業・終業時刻」に正しい時間を入力していただきました。
該当日の“詳細”ボタンを押下して、「出社と始業時刻の逆転理由」に“出社時に打刻をしておらず、退社時に誤って出社打刻もしてしまったため”と入力いただきました。 
“確認”ボタンを押下して、“日次確定”ボタンを押下いただきました。"
